종목코드,섹터코드,섹터명
068930,CD,임의소비재
069510,CD,임의소비재
069640,CD,임의소비재
069920,CD,임의소비재
069960,CD,임의소비재
070960,CD,임의소비재
071460,CD,임의소비재
071840,CD,임의소비재
071850,CD,임의소비재
072470,CD,임의소비재
072870,CD,임의소비재
073240,CD,임의소비재
075180,CD,임의소비재
078590,CD,임의소비재
079430,CD,임의소비재
079980,CD,임의소비재
080160,CD,임의소비재
080470,CD,임의소비재
081660,CD,임의소비재
084440,CD,임의소비재
084680,CD,임의소비재
084730,CD,임의소비재
084870,CD,임의소비재
087260,CD,임의소비재
088290,CD,임의소비재
088790,CD,임의소비재
089470,CD,임의소비재
090080,CD,임의소비재
090150,CD,임의소비재
090370,CD,임의소비재
092200,CD,임의소비재
092780,CD,임의소비재
093050,CD,임의소비재
093240,CD,임의소비재
093380,CD,임의소비재
094850,CD,임의소비재
096240,CD,임의소비재
098660,CD,임의소비재
100220,CD,임의소비재
101140,CD,임의소비재
101360,CD,임의소비재
102280,CD,임의소비재
102370,CD,임의소비재
104040,CD,임의소비재
104480,CD,임의소비재
104620,CD,임의소비재
105550,CD,임의소비재
105630,CD,임의소비재
107640,CD,임의소비재
109670,CD,임의소비재
110790,CD,임의소비재
111110,CD,임의소비재
111380,CD,임의소비재
111710,CD,임의소비재
111770,CD,임의소비재
113810,CD,임의소비재
114090,CD,임의소비재
114840,CD,임의소비재
118990,CD,임의소비재
121440,CD,임의소비재
122350,CD,임의소비재
122690,CD,임의소비재
123040,CD,임의소비재
123410,CD,임의소비재
123700,CD,임의소비재
123750,CD,임의소비재
126640,CD,임의소비재
128540,CD,임의소비재
128820,CD,임의소비재
130500,CD,임의소비재
130740,CD,임의소비재
133750,CD,임의소비재
143210,CD,임의소비재
145170,CD,임의소비재
146060,CD,임의소비재
159580,CD,임의소비재
161390,CD,임의소비재
163560,CD,임의소비재
170030,CD,임의소비재
192080,CD,임의소비재
192400,CD,임의소비재
194370,CD,임의소비재
198940,CD,임의소비재
200880,CD,임의소비재
201490,CD,임의소비재
204020,CD,임의소비재
204320,CD,임의소비재
212560,CD,임의소비재
214330,CD,임의소비재
215000,CD,임의소비재
215100,CD,임의소비재
215200,CD,임의소비재
215360,CD,임의소비재
215480,CD,임의소비재
217620,CD,임의소비재
219550,CD,임의소비재
225190,CD,임의소비재
225590,CD,임의소비재
227100,CD,임의소비재
234100,CD,임의소비재
234920,CD,임의소비재
241590,CD,임의소비재
241690,CD,임의소비재
256150,CD,임의소비재
257720,CD,임의소비재
263020,CD,임의소비재
265560,CD,임의소비재
267790,CD,임의소비재
270660,CD,임의소비재
271940,CD,임의소비재
284740,CD,임의소비재
289010,CD,임의소비재
290120,CD,임의소비재
298540,CD,임의소비재
306040,CD,임의소비재
308100,CD,임의소비재
308170,CD,임의소비재
309930,CD,임의소비재
310870,CD,임의소비재
312610,CD,임의소비재
318160,CD,임의소비재
323230,CD,임의소비재
335870,CD,임의소비재
336680,CD,임의소비재
337930,CD,임의소비재
339770,CD,임의소비재
339950,CD,임의소비재
352090,CD,임의소비재
353590,CD,임의소비재
354320,CD,임의소비재
362320,CD,임의소비재
366030,CD,임의소비재
369370,CD,임의소비재
373160,CD,임의소비재
373200,CD,임의소비재
376180,CD,임의소비재
377460,CD,임의소비재
378850,CD,임의소비재
381970,CD,임의소비재
383220,CD,임의소비재
405920,CD,임의소비재
406820,CD,임의소비재
407400,CD,임의소비재
419050,CD,임의소비재
420570,CD,임의소비재
424960,CD,임의소비재
437730,CD,임의소비재
448900,CD,임의소비재
450140,CD,임의소비재
451250,CD,임의소비재
452260,CD,임의소비재
453860,CD,임의소비재
457600,CD,임의소비재
461300,CD,임의소비재
463480,CD,임의소비재
472850,CD,임의소비재
475460,CD,임의소비재
475560,CD,임의소비재
475580,CD,임의소비재
478560,CD,임의소비재
481070,CD,임의소비재
499790,CD,임의소비재
950170,CD,임의소비재
000070,CS,필수소비재
000080,CS,필수소비재
000140,CS,필수소비재
000890,CS,필수소비재
001130,CS,필수소비재
